Staff member,Staff role,Interaction type,Region,Branch,Responses,Avg_NPS_score,Avg_satisfaction_score,Avg_behaviour_score,Promoter_count,Passive_count,Detractor_count,Satisfied_count,Neutral_count,Dissatisfied_count,Any_value_add_count,Follow_up_requested_count,NPS,Promoter %,Passive %,Detractor %,Satisfied %,Dissatisfied %,Any value-add %,Follow-up requested %,Dataset label,Coaching focus behaviour,Coaching focus avg score,Low-volume warning flag,Suggested coaching read
Staff A,Member Service Representative,Service,Metro North,Branch A,11,9.0,4.18,3.73,8,3,0,10,1,0,9,0,72.7,72.7,27.3,0.0,90.9,0.0,81.8,0.0,Illustrative synthetic data — not actual results,They acknowledged me when I arrived (whether at the wicket or upon entry).,4.09,No,Review behaviour patterns and verbatims
Staff B,Member Service Representative,Service,Metro North,Branch A,6,6.83,3.83,3.0,1,3,2,3,3,0,1,1,-16.7,16.7,50.0,33.3,50.0,0.0,16.7,16.7,Illustrative synthetic data — not actual results,They acknowledged me when I arrived (whether at the wicket or upon entry).,3.33,No,Review behaviour patterns and verbatims
Staff C,Member Service Representative,Service,Metro North,Branch B,9,7.67,3.56,2.89,4,2,3,5,2,2,3,0,11.1,44.4,22.2,33.3,55.6,22.2,33.3,0.0,Illustrative synthetic data — not actual results,"They either addressed my request during this visit, or clearly explained the next steps.",3.33,No,Review behaviour patterns and verbatims
Staff D,Member Service Representative,Service,Metro North,Branch B,9,7.33,3.78,2.89,0,7,2,7,2,0,2,0,-22.2,0.0,77.8,22.2,77.8,0.0,22.2,0.0,Illustrative synthetic data — not actual results,They listened carefully and confirmed their understanding of my request.,3.0,No,Review behaviour patterns and verbatims
Staff E,Member Service Representative,Service,Metro South,Branch C,6,7.5,4.0,3.33,3,1,2,3,3,0,2,0,16.7,50.0,16.7,33.3,50.0,0.0,33.3,0.0,Illustrative synthetic data — not actual results,They acknowledged me when I arrived (whether at the wicket or upon entry).,3.67,No,Review behaviour patterns and verbatims
Staff F,Member Service Representative,Service,Metro South,Branch C,7,7.57,3.57,3.0,3,2,2,4,0,3,2,0,14.3,42.9,28.6,28.6,57.1,42.9,28.6,0.0,Illustrative synthetic data — not actual results,They were knowledgeable and clear in this interaction.,3.14,No,Review behaviour patterns and verbatims
Staff G,Member Service Representative,Service,Metro South,Branch D,4,9.0,4.75,4.5,3,1,0,4,0,0,3,0,75.0,75.0,25.0,0.0,100.0,0.0,75.0,0.0,Illustrative synthetic data — not actual results,They acknowledged me when I arrived (whether at the wicket or upon entry).,4.5,Yes,Use cautiously: low synthetic response count
Staff H,Member Service Representative,Service,Metro South,Branch D,9,8.56,3.67,3.11,6,2,1,6,2,1,7,1,55.6,66.7,22.2,11.1,66.7,11.1,77.8,11.1,Illustrative synthetic data — not actual results,They acknowledged me when I arrived (whether at the wicket or upon entry).,3.67,No,Review behaviour patterns and verbatims
Staff I,Member Service Representative,Service,Fraser Valley,Branch E,8,6.62,3.0,2.5,2,2,4,3,2,3,2,2,-25.0,25.0,25.0,50.0,37.5,37.5,25.0,25.0,Illustrative synthetic data — not actual results,They made it easy for me to get what I needed.,2.75,No,Review behaviour patterns and verbatims
Staff J,Member Service Representative,Service,Fraser Valley,Branch E,7,7.71,3.57,2.57,2,3,2,4,2,1,2,0,0.0,28.6,42.9,28.6,57.1,14.3,28.6,0.0,Illustrative synthetic data — not actual results,They made it easy for me to get what I needed.,3.0,No,Review behaviour patterns and verbatims
Staff K,Member Service Representative,Service,Fraser Valley,Branch F,8,8.12,3.75,3.12,4,3,1,6,1,1,6,1,37.5,50.0,37.5,12.5,75.0,12.5,75.0,12.5,Illustrative synthetic data — not actual results,"They were patient, respectful, and had a positive attitude.",3.5,No,Review behaviour patterns and verbatims
Staff L,Member Service Representative,Service,Fraser Valley,Branch F,1,8.0,4.0,3.0,0,1,0,1,0,0,0,0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,Illustrative synthetic data — not actual results,They acknowledged me when I arrived (whether at the wicket or upon entry).,3.0,Yes,Use cautiously: low synthetic response count
