Response ID,Survey date,Region,Branch,Staff member,Staff role,Interaction type,Appointment type,Channel,NPS score,NPS group,Satisfaction rating,Satisfaction score,Satisfaction group,Wait time reasonableness,Behaviour statement,Behaviour score,Behaviour agreement group,Behaviour agreement rating,Value-add outcome selected,Any value-add flag,Verbatim comment,Follow-up permission flag,Low-volume warning flag,Dataset label
VOM-SYN-0001,2026-04-01,Fraser Valley,Branch F,Staff L,Member Service Representative,Service,,,8,Passive,Satisfied,4,Satisfied,Strongly agree,"They were patient, respectful, and had a positive attitude.",3,Neutral,Neither agree nor disagree,None of the above,No,"The staff member helped me, but I had to ask a few follow-up questions.",Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0002,2026-04-02,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,,,10,Promoter,Very satisfied,5,Satisfied,Strongly agree,"They were patient, respectful, and had a positive attitude.",5,Agree,Strongly agree,None of the above,No,I appreciated the warm greeting and how easy the transaction felt.,Not applicable,Yes,Illustrative synthetic data — not actual results
VOM-SYN-0003,2026-04-03,Fraser Valley,Branch E,Staff J,Member Service Representative,Service,,,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,Somewhat disagree,They made it easy for me to get what I needed.,2,Disagree,Somewhat disagree,None of the above,No,"The visit worked out, but I would have liked a clearer estimate of the wait.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0004,2026-04-03,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Small business advice,in-person,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They made it easy for me to get what I needed.,2,Disagree,Somewhat disagree,A follow-up appointment booked (with this advisor or another specialist),Yes,"I got useful information, but I am still comparing what to do next.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0005,2026-04-03,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,Financial planning review,phone,8,Passive,Satisfied,4,Satisfied,,They made it easy for me to get what I needed.,3,Neutral,Neither agree nor disagree,None of the above,No,"It was a decent conversation, but it felt more general than tailored.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0006,2026-04-04,Metro North,Branch B,Staff C,Member Service Representative,Service,,,6,Detractor,Very dissatisfied,1,Dissatisfied,Strongly disagree,They made it easy for me to get what I needed.,1,Disagree,Strongly disagree,None of the above,No,"I had to repeat my request more than once, which made the experience frustrating. The wait time also affected the experience.",No,No,Illustrative synthetic data — not actual results
VOM-SYN-0007,2026-04-04,Metro North,Branch B,Staff C,Member Service Representative,Service,,,7,Passive,Satisfied,4,Satisfied,Somewhat agree,"They either addressed my request during this visit, or clearly explained the next steps.",3,Neutral,Neither agree nor disagree,None of the above,No,"My request was completed, though the explanation could have been a bit clearer.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0008,2026-04-05,Metro South,Branch D,Staff R,Financial Services Advisor,Advice,General advice appointment,in-person,8,Passive,Neither satisfied nor dissatisfied,3,Neutral,,They contacted me in advance to prepare for the appointment.,2,Disagree,Somewhat disagree,Something else,Yes,"The appointment was helpful, but I would have liked more detail on the recommended options.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0009,2026-04-05,Metro North,Branch A,Staff A,Member Service Representative,Service,,,10,Promoter,Satisfied,4,Satisfied,Somewhat agree,"They either addressed my request during this visit, or clearly explained the next steps.",4,Agree,Somewhat agree,Information about how Vancity supports my community,Yes,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,No,Illustrative synthetic data — not actual results
VOM-SYN-0010,2026-04-05,Metro North,Branch A,Staff O,Financial Services Advisor,Advice,General advice appointment,in-person,9,Promoter,Satisfied,4,Satisfied,,"They addressed what I came in for, or clearly explained next steps.",3,Neutral,Neither agree nor disagree,None of the above,No,The advisor listened carefully and connected the conversation to my goals.,Not applicable,No,Illustrative synthetic data — not actual results
