NPS group,Response ID,Interaction type,Region,Branch,NPS score,Satisfaction rating,Verbatim comment,Follow-up permission flag,Dataset label
Promoter,VOM-SYN-0131,Advice,Fraser Valley,Branch F,10,Very satisfied,The advisor listened carefully and connected the conversation to my goals. I also left with something useful beyond the immediate request.,Not applicable,Illustrative synthetic data — not actual results
Promoter,VOM-SYN-0085,Advice,Metro North,Branch A,9,Very satisfied,I left with a clear plan and felt the advice was tailored to my situation.,Not applicable,Illustrative synthetic data — not actual results
Promoter,VOM-SYN-0119,Advice,Metro South,Branch D,9,Satisfied,"The advisor was prepared, knowledgeable, and made the appointment easy to follow.",Not applicable,Illustrative synthetic data — not actual results
Promoter,VOM-SYN-0130,Service,Metro North,Branch A,10,Very satisfied,I appreciated the warm greeting and how easy the transaction felt.,Not applicable,Illustrative synthetic data — not actual results
Promoter,VOM-SYN-0142,Service,Metro South,Branch C,9,Very satisfied,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,Illustrative synthetic data — not actual results
Promoter,VOM-SYN-0023,Service,Metro South,Branch D,9,Very satisfied,"The branch was busy, but I still felt acknowledged and looked after.",Not applicable,Illustrative synthetic data — not actual results
Passive,VOM-SYN-0047,Advice,Metro South,Branch D,8,Neither satisfied nor dissatisfied,"It was a decent conversation, but it felt more general than tailored.",Not applicable,Illustrative synthetic data — not actual results
Passive,VOM-SYN-0084,Advice,Island & Coastal,Branch H,7,Neither satisfied nor dissatisfied,"The appointment covered the basics, but I expected a more specific plan.",Not applicable,Illustrative synthetic data — not actual results
Passive,VOM-SYN-0004,Advice,Metro South,Branch D,8,Neither satisfied nor dissatisfied,"I got useful information, but I am still comparing what to do next.",Not applicable,Illustrative synthetic data — not actual results
Passive,VOM-SYN-0149,Service,Metro North,Branch B,7,Satisfied,"My request was completed, though the explanation could have been a bit clearer.",Not applicable,Illustrative synthetic data — not actual results
Passive,VOM-SYN-0079,Service,Island & Coastal,Branch H,8,Very satisfied,"It was an average visit. Nothing went wrong, but nothing really stood out.",Not applicable,Illustrative synthetic data — not actual results
Passive,VOM-SYN-0136,Service,Metro North,Branch A,8,Neither satisfied nor dissatisfied,"It was an average visit. Nothing went wrong, but nothing really stood out.",Not applicable,Illustrative synthetic data — not actual results
Detractor,VOM-SYN-0044,Advice,Fraser Valley,Branch E,6,Neither satisfied nor dissatisfied,"The conversation felt rushed, and I left with unresolved questions.",Not applicable,Illustrative synthetic data — not actual results
Detractor,VOM-SYN-0074,Advice,Metro South,Branch C,5,Neither satisfied nor dissatisfied,I expected more preparation and a clearer explanation of my options.,Not applicable,Illustrative synthetic data — not actual results
Detractor,VOM-SYN-0037,Advice,Fraser Valley,Branch F,6,Very dissatisfied,"The conversation felt rushed, and I left with unresolved questions.",No,Illustrative synthetic data — not actual results
Detractor,VOM-SYN-0006,Service,Metro North,Branch B,6,Very dissatisfied,"I had to repeat my request more than once, which made the experience frustrating. The wait time also affected the experience.",No,Illustrative synthetic data — not actual results
Detractor,VOM-SYN-0055,Service,Fraser Valley,Branch E,5,Neither satisfied nor dissatisfied,"The branch seemed busy, and I did not feel acknowledged until I reached the wicket. The wait time also affected the experience.",Not applicable,Illustrative synthetic data — not actual results
Detractor,VOM-SYN-0091,Service,Metro North,Branch A,4,Neither satisfied nor dissatisfied,"The visit felt rushed, and I would have appreciated more patience and clarity.",Yes,Illustrative synthetic data — not actual results
