Metric,Value
Dataset label,Illustrative synthetic data — not actual results
Total responses,150
Advice responses,60
Service responses,90
NPS,31.3
Average NPS score,8.1
Promoter count,70
Promoter %,46.7
Passive count,57
Passive %,38.0
Detractor count,23
Detractor %,15.3
Average satisfaction score,3.81
Satisfied %,66.0
Neutral satisfaction %,25.3
Dissatisfied %,8.7
Average highlighted behaviour score,3.2
Average all-statement behaviour score,3.8
Any value-add %,52.7
Follow-up requested count,5
Low-volume staff threshold,< 5 responses
Staff flagged low volume,10
