Response ID,Survey date,Region,Branch,Staff member,Staff role,Interaction type,Behaviour item order,Behaviour statement,Behaviour score,Behaviour agreement rating,Behaviour agreement group,NPS score,NPS group,Satisfaction score,Satisfaction group,Dataset label,Low-volume warning flag
VOM-SYN-0122,2026-06-09,Metro South,Branch D,Staff H,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Somewhat agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0122,2026-06-09,Metro South,Branch D,Staff H,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,5,Strongly agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0122,2026-06-09,Metro South,Branch D,Staff H,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0122,2026-06-09,Metro South,Branch D,Staff H,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",4,Somewhat agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0122,2026-06-09,Metro South,Branch D,Staff H,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0122,2026-06-09,Metro South,Branch D,Staff H,Member Service Representative,Service,6,They made it easy for me to get what I needed.,5,Strongly agree,Agree,9,Promoter,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0141,2026-06-17,Metro South,Branch C,Staff F,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,2,Somewhat disagree,Disagree,6,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0141,2026-06-17,Metro South,Branch C,Staff F,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,2,Somewhat disagree,Disagree,6,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0141,2026-06-17,Metro South,Branch C,Staff F,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",2,Somewhat disagree,Disagree,6,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0141,2026-06-17,Metro South,Branch C,Staff F,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",1,Strongly disagree,Disagree,6,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0141,2026-06-17,Metro South,Branch C,Staff F,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,1,Strongly disagree,Disagree,6,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0141,2026-06-17,Metro South,Branch C,Staff F,Member Service Representative,Service,6,They made it easy for me to get what I needed.,2,Somewhat disagree,Disagree,6,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0062,2026-05-08,Metro North,Branch B,Staff C,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,1,Strongly disagree,Disagree,5,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0062,2026-05-08,Metro North,Branch B,Staff C,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,1,Strongly disagree,Disagree,5,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0062,2026-05-08,Metro North,Branch B,Staff C,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",3,Neither agree nor disagree,Neutral,5,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0062,2026-05-08,Metro North,Branch B,Staff C,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",2,Somewhat disagree,Disagree,5,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0062,2026-05-08,Metro North,Branch B,Staff C,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,2,Somewhat disagree,Disagree,5,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0062,2026-05-08,Metro North,Branch B,Staff C,Member Service Representative,Service,6,They made it easy for me to get what I needed.,1,Strongly disagree,Disagree,5,Detractor,2,Dissatisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0079,2026-05-18,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Somewhat agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,Yes
VOM-SYN-0079,2026-05-18,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,Yes
VOM-SYN-0079,2026-05-18,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,Yes
VOM-SYN-0079,2026-05-18,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,Yes
VOM-SYN-0079,2026-05-18,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,5,They were knowledgeable and clear in this interaction.,5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,Yes
VOM-SYN-0079,2026-05-18,Island & Coastal,Branch H,Staff N,Member Service Representative,Service,6,They made it easy for me to get what I needed.,5,Strongly agree,Agree,8,Passive,5,Satisfied,Illustrative synthetic data — not actual results,Yes
VOM-SYN-0102,2026-05-30,Metro North,Branch B,Staff D,Member Service Representative,Service,1,They acknowledged me when I arrived (whether at the wicket or upon entry).,4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0102,2026-05-30,Metro North,Branch B,Staff D,Member Service Representative,Service,2,They listened carefully and confirmed their understanding of my request.,3,Neither agree nor disagree,Neutral,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0102,2026-05-30,Metro North,Branch B,Staff D,Member Service Representative,Service,3,"They either addressed my request during this visit, or clearly explained the next steps.",4,Somewhat agree,Agree,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
VOM-SYN-0102,2026-05-30,Metro North,Branch B,Staff D,Member Service Representative,Service,4,"They were patient, respectful, and had a positive attitude.",3,Neither agree nor disagree,Neutral,8,Passive,4,Satisfied,Illustrative synthetic data — not actual results,No
