Response ID,Interaction type,Region,Branch,Value-add outcome selected,Any value-add flag,NPS group,Dataset label
VOM-SYN-0001,Service,Fraser Valley,Branch F,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0002,Service,Island & Coastal,Branch H,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0003,Service,Fraser Valley,Branch E,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0004,Advice,Metro South,Branch D,A follow-up appointment booked (with this advisor or another specialist),Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0005,Advice,Metro South,Branch D,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0006,Service,Metro North,Branch B,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0007,Service,Metro North,Branch B,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0008,Advice,Metro South,Branch D,Something else,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0009,Service,Metro North,Branch A,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0010,Advice,Metro North,Branch A,None of the above,No,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0011,Advice,Fraser Valley,Branch F,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0011,Advice,Fraser Valley,Branch F,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0012,Service,Fraser Valley,Branch E,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0013,Advice,Metro South,Branch C,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0014,Service,Metro North,Branch A,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0015,Service,Metro North,Branch A,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0016,Advice,Island & Coastal,Branch G,Information or tools to help me manage my finances,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0016,Advice,Island & Coastal,Branch G,A clear plan to revisit my needs and goals in the future,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0017,Service,Metro South,Branch D,A recommended product or service relevant to my needs,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0018,Service,Metro North,Branch A,None of the above,No,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0019,Service,Fraser Valley,Branch E,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0020,Advice,Island & Coastal,Branch H,A clear plan to revisit my needs and goals in the future,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0021,Service,Metro South,Branch C,None of the above,No,Detractor,Illustrative synthetic data — not actual results
VOM-SYN-0022,Advice,Metro North,Branch B,A clear plan to revisit my needs and goals in the future,Yes,Passive,Illustrative synthetic data — not actual results
VOM-SYN-0023,Service,Metro South,Branch D,Information about how Vancity supports my community,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0024,Service,Metro South,Branch D,A recommended product or service relevant to my needs,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0025,Advice,Island & Coastal,Branch G,A follow-up appointment booked (with this advisor or another specialist),Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0025,Advice,Island & Coastal,Branch G,Something else,Yes,Promoter,Illustrative synthetic data — not actual results
VOM-SYN-0026,Service,Fraser Valley,Branch E,None of the above,No,Detractor,Illustrative synthetic data — not actual results
